id,host_id,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location
3039972,14851217,1,Misericrdia,Lisboa,38.711070,-9.151500,Entire rental unit,Entire home/apt,6,1,2,3,95,2,40,4.7,4.85,4.93,4.74
3041576,15486693,1,Colares,Sintra,38.800230,-9.447270,Private room in cottage,Private room,2,1,1,1,21,2,291,4.72,4.74,4.55,4.69
3041837,3291623,2,Santo Antnio,Lisboa,38.721330,-9.142450,Entire rental unit,Entire home/apt,4,1,1,3,55,2,196,4.66,4.8,4.81,4.73
3041964,1837782,1,So Vicente,Lisboa,38.719020,-9.124400,Entire rental unit,Entire home/apt,3,1,1,1,63,2,146,4.78,4.92,4.87,4.56
3041992,5691663,76,Santa Maria Maior,Lisboa,38.711080,-9.129100,Entire rental unit,Entire home/apt,2,1,0,1,52,2,288,4.73,4.84,4.93,4.85
3042444,15491838,4,Alvalade,Lisboa,38.750930,-9.142110,Entire rental unit,Entire home/apt,4,1,2,3,100,28,14,4.71,4.86,4.79,4.57
3047467,15515875,1,So Domingos de Benfica,Lisboa,38.756920,-9.178400,Entire rental unit,Entire home/apt,4,1,2,2,50,3,55,4.67,4.83,4.79,4.3
3047901,7564916,92,Avenidas Novas,Lisboa,38.731480,-9.151030,Private room in rental unit,Private room,1,2,1,1,20,3,2,3.5,3.5,3,4.5
3051566,15535638,1,Santo Antnio,Lisboa,38.717460,-9.143900,Entire rental unit,Entire home/apt,4,1,1,2,73,5,253,4.89,4.93,4.92,4.93
3051898,3791922,0,Santo Antnio,Lisboa,38.716790,-9.146860,Entire rental unit,Entire home/apt,4,1,1,2,53,2,222,4.75,4.76,4.78,4.81
